Timestamp,What is your profession? ,Please indicate your gender,BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",BEFORE the Covid-19 pandemic (before March 1st 2020)?,"DURING the Covid-19 pandemic (during March 1st to August 31st, 2020)?",How many people in Kerala do you financially support with your income?,How important is it for you to send money back to Kerala?, I send money to Kerala:,When the exchange rate is high (1 AED yields more INR):, I send money home:,"BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic (from March 1st to August 31st, 2020)?","BEFORE the Covid-19 pandemic (before March 1st, 2020)?","DURING the Covid-19 pandemic(from March 1st to August 31st, 2020)?","CEREALS & PULSES (Cereals and Pulses are items like Rice, Wheat, Bread, Maida, Rava, Dal varieties, et cetera) ","ANIMAL PROTEIN (Animal Protein is items like Chicken, Duck, Mutton, Beef, Fish, Eggs, etc) ","DAIRY PRODUCTS (Dairy Products are items like Milk, Yoghurt, Laban, Cheese, Labneh, Paneer, etc) ",Fruits and Vegetables,"PREPARED MEALS (Prepared Meals are items like Cup noodles, Heat & eat items like packaged curries, Maggi, Frozen chapati/paratha, Khubhus, Readymade idli/ appam batter, Restaurant take away/dine in, etc)  ","SWEETS AND SNACKS (Sweets and Snacks are items like Bakery items, Ice-cream, Chocolates, etc) ","PERSONAL CARE AND EFFECTS (Personal Care and Effects are items like Clothing, Footwear, Ornaments, Soap, Visiting Barber/beautician, etc) ","HOUSING RELATED EXPENDITURES (Housing Related expenditures are expenses like Housing Rent, Electricity Bill, Water Bill, etc)","HEALTHCARE (Healthcare includes expenses like Medicine fees, Doctor’s fees, Purchasing of medical equipment, Homeo medicines, etc)","TRANSPORTATION EXPENSES (Transportation expenses include expenses like Bus fare, Taxi fare, Petrol/Diesel costs, airplane fare, etc)","COMMUNICATION EXPENSES (Communication Expenses include expenses like Phone bills, Postage expenses, Internet expenses, etc)","RECREATION AND AMUSEMENT (Recreation and Amusement includes expenses like Cable connection fees, Newspapers, Playing Cards, carrom boards, etc)","HOUSEHOLD GOODS AND SERVICES (Household Goods and Services include items like Furniture, Bedding, Appliances like TV, Fridge, Washing machine, Stove, et cetera)"
7/22/2021 20:58:44,Sales associate ,Male,"0-2,500 AED","0-2,500 AED","Food, Healthcare, Transportation (Bus pass, fuel, etc)","Healthcare, Transportation (Bus pass, fuel, etc)",8,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",The amount I send to my family in Kerala does not change,Once a month,50,45,45,45,Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -500 AED)
7/22/2021 21:27:51,Supply Chain,Male,"0-2,500 AED","0-2,500 AED","Food, Housing, Healthcare, Utilities (any one or more of electricity, water ), Transportation (Bus pass, fuel, etc), Laundry","Food, Housing, Healthcare, Utilities (any one or more of electricity, water ), Transportation (Bus pass, fuel, etc), Laundry",1,Unimportant (Family can support basic necessities even without my remittance),Both,I send more money to my family in Kerala,In bulk amounts infrequently,50,50,20,20,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
7/22/2021 22:02:50,Electrical engr,Male,"Greater than 40,000 AED",,"Housing, Healthcare, Transportation (Buss pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Housing, Healthcare, Communication (phone bills, Internet connection, etc)",None,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to my family in Kerala,In bulk amounts infrequently,50 percent,60 percent,50,60,No change,No change,No change,No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 500 AED),Highly decreased (by more than 100 AED),Highly decreased (by more than 50 AED),No change,No change,No change
7/22/2021 22:23:51,Engineer,Male,"15,001-20,000 AED		","10,001-15,000 AED","Healthcare, Transportation (Buss pass, fuel, etc), Communication (phone bills, Internet connection, etc)",Healthcare,5,Very Important (Family is totally dependent on my remittances),Both,The amount I send to my family in Kerala does not change,Once a month,35%,10%,35,15,No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly Increased (by 1 -500 AED),No change,Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change
7/22/2021 23:06:41,QS Manager,Female,"10,001-15,000 AED","10,001-15,000 AED",None,None,0,Very Unimportant (Family is capable to live without my remittances),Both,The amount I send to my family in Kerala does not change,In bulk amounts infrequently,50%,90%,10%,10%,No change,No change,No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),No change
7/22/2021 23:22:41,Maintaince and real estate ,Male,"5,001-10,000 AED","5,001-10,000 AED",None,None,10,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",I send more money to my family in Kerala,Once a month,10,0,10,30,Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED),No change,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -500 AED)
7/22/2021 23:48:27,Director of Finance,Male,"15,001-20,000 AED","5,001-10,000 AED","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc), Laundry","Food, Housing, Utilities (any one or more of electricity, water ), Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc), Laundry",None,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to my family in Kerala,In bulk amounts infrequently,20%,60%,20%,60%,Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),No change,No change,Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change,No change
7/23/2021 0:07:40,HR,Male,"15,001-20,000 AED","15,001-20,000 AED",None,None,2,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to my family in Kerala,In small amounts frequently,10,10,1,1,No change,No change,No change,No change,No change,No change,No change,Slightly Increased (by 1 -500 AED),No change,Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
7/23/2021 0:22:35,Admin ,Female,"5,001-10,000 AED","2,500-5,000 AED","Transportation (Bus pass, fuel, etc)","Transportation (Bus pass, fuel, etc)",3,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",I send less money to my family in Kerala,When requested by family in Kerala,50,10,20,0,No change,No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),No change,No change,No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 500 AED)
7/23/2021 0:46:36,Engineer ,Male,"15,001-20,000 AED","15,001-20,000 AED","Housing, Healthcare","Housing, Healthcare",2,Important (Family has some income but depends on my remittance to pull through),Both,The amount I send to my family in Kerala does not change,Once a month,25%,25%,25%,25%,No change,No change,No change,No change,Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),Highly decreased (by more than 50 AED),No change,No change,Slightly decreased (by 1 -50 AED),No change,No change,Highly decreased (by more than 500 AED)
7/23/2021 0:50:26,Engineer,Male,"35,001-40,000 AED","35,001-40,000 AED","Housing, Healthcare","Housing, Healthcare",4,Very Important (Family is totally dependent on my remittances),Both,The amount I send to my family in Kerala does not change,When requested by family in Kerala,50%,60%,30%,30%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,No change,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -500 AED)
7/23/2021 5:04:56,Driver,Male,"2,500-5,000 AED","2,500-5,000 AED",None,None,10,Very Important (Family is totally dependent on my remittances),"For my family (living expenses, children’s education, etc)",The amount I send to my family in Kerala does not change,Once a month,Nil,Nil,85-90 percentage,85-90parcentage,No change,Highly increased (by more than 50 AED),No change,Highly increased (by more than 50 AED),No change,No change,No change,No change,No change,No change,No change,No change,No change
7/23/2021 9:29:37,Admin ,Female,"5,001-10,000 AED","2,500-5,000 AED","Transportation (Bus pass, fuel, etc)","Transportation (Bus pass, fuel, etc)",3,Important (Family has some income but depends on my remittance to pull through),"For my family (living expenses, children’s education, etc)",I send less money to my family in Kerala,When requested by family in Kerala,50,10,20,0,No change,No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),No change,No change,No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 500 AED)
7/23/2021 9:51:59,Finance manager,Male,"15,001-20,000 AED","5,001-10,000 AED","Housing, Utilities (any one or more of electricity, water ), Healthcare, Laundry","Housing, Utilities (any one or more of electricity, water ), Healthcare, Laundry",2,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to my family in Kerala does not change,In bulk amounts infrequently,20,10,20,10,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED)
7/23/2021 10:27:40,Teacher,Female,"2,500-5,000 AED","2,500-5,000 AED","Transportation (Bus pass, fuel, etc)",None,2,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to my family in Kerala does not change,When requested by family in Kerala,90,90,5,5,No change,No change,No change,No change,No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),Slightly decreased (by 1 -100 AED),Slightly decreased (by 1 -50 AED),No change,No change,No change
7/23/2021 10:33:03,sales ,Male,"10,001-15,000 AED","2,500-5,000 AED","Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",2,Important (Family has some income but depends on my remittance to pull through),Both,The amount I send to my family in Kerala does not change,Once a month,30,0,10,0,No change,No change,No change,No change,Highly decreased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Highly increased (by more than 500 AED),No change,Highly decreased (by more than 50 AED),No change,No change,Highly decreased (by more than 500 AED)
7/23/2021 10:52:07,Engineer,Female,"20,001-25,000 AED","20,001-25,000 AED","Housing, Healthcare","Housing, Healthcare",2,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to my family in Kerala,In bulk amounts infrequently,30%,25%,10%,15%,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -500 AED),Slightly Increased (by 1 -100 AED),Highly decreased (by more than 50 AED),No change,Slightly decreased (by 1 -50 AED),Highly decreased (by more than 500 AED)
7/23/2021 11:08:08,Doctor,Female,"35,001-40,000 AED","35,001-40,000 AED",Healthcare,Healthcare,None ,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to my family in Kerala does not change,In bulk amounts infrequently,40%,40 %,20 %,20 %,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -500 AED),No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change
7/23/2021 11:15:20,Network administrator,Male,"15,001-20,000 AED","15,001-20,000 AED","Housing, Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Housing, Healthcare, Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)",4,Very Important (Family is totally dependent on my remittances),Both,I send more money to my family in Kerala,Once a month,50,50,50,50,No change,Slightly decreased (by 1 -50 AED),No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),No change,Slightly Increased (by 1 -100 AED),Slightly decreased (by 1 -50 AED),Highly increased (by more than 50 AED),No change,No change
7/23/2021 11:57:59,Electrical Engineer,Female,"10,001-15,000 AED","10,001-15,000 AED","Housing, Transportation (Bus pass, fuel, etc)","Housing, Transportation (Bus pass, fuel, etc)",None,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",I send more money to my family in Kerala,In bulk amounts infrequently,30 percent,30 percent,30 percent,30 percent,No change,No change,No change,No change,No change,No change,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -500 AED),No change,Highly decreased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change
7/23/2021 12:30:22,Hospital Administration,Female,"10,001-15,000 AED","10,001-15,000 AED",None,None,Nobody,Unimportant (Family can support basic necessities even without my remittance),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to my family in Kerala does not change,Once a month,25%,20%,25%,15%,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),No change,Slightly Increased (by 1 -500 AED)
7/23/2021 13:54:58,business,Male,"15,001-20,000 AED","5,001-10,000 AED","Housing, Healthcare","Housing, Healthcare",8,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to my family in Kerala,In bulk amounts infrequently,70,30,60,30,Highly increased (by more than 50 AED),No change,Slightly Increased (by 1 -50 AED),Highly increased (by more than 50 AED),Highly increased (by more than 50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Highly increased (by more than 500 AED),Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),Slightly decreased (by 1 -50 AED),Highly decreased (by more than 50 AED),Slightly decreased (by 1 -500 AED)
7/23/2021 14:05:44,Accounts and Admin,Male,"10,001-15,000 AED","5,001-10,000 AED",None,None,5,Important (Family has some income but depends on my remittance to pull through),Both,I send less money to my family in Kerala,Once a month,40%,40%,40,40,Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),Slightly Increased (by 1 -50 AED),No change,No change,No change,Slightly Increased (by 1 -500 AED),No change,No change,Slightly Increased (by 1 -50 AED),No change,No change
7/23/2021 14:30:37,Engineer,Male,"Greater than 40,000 AED","Greater than 40,000 AED","Housing, Healthcare, Communication (phone bills, Internet connection, etc)","Housing, Healthcare, Communication (phone bills, Internet connection, etc)",Two,Very Unimportant (Family is capable to live without my remittances),"To save/invest money (to build a home, deposit money in the bank, etc)",The amount I send to my family in Kerala does not change,In bulk amounts infrequently,50 to 60,60 to 70,5 to 10,5 to 10,No change,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,No change,No change,Highly decreased (by more than 50 AED),No change,No change,Highly decreased (by more than 500 AED)
7/23/2021 15:25:19,Facilities Engineer,Male,"5,001-10,000 AED","5,001-10,000 AED","Transportation (Bus pass, fuel, etc), Communication (phone bills, Internet connection, etc)","Communication (phone bills, Internet connection, etc)",3,Unimportant (Family can support basic necessities even without my remittance),Both,I send more money to my family in Kerala,In bulk amounts infrequently,60,50,50,40,No change,No change,No change,No change,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -50 AED),No change,Slightly decreased (by 1 -100 AED),Slightly decreased (by 1 -50 AED),No change,Slightly decreased (by 1 -50 AED),Slightly decreased (by 1 -500 AED)
7/23/2021 15:53:38,Marketing ,Female,"10,001-15,000 AED","10,001-15,000 AED",Housing,Housing,Around 10,Important (Family has some income but depends on my remittance to pull through),Both,I send more money to my family in Kerala,In bulk amounts infrequently,50%,50%,50,50,No change,No change,No change,Slightly Increased (by 1 -50 AED),No change,No change,Slightly Increased (by 1 -50 AED),No change,Highly increased (by more than 100 AED),Highly increased (by more than 50 AED),No change,No change,No change
